Image_Name,Total_Pests_Detected,Detected_Species,Infestation_Level
IP000000108.jpg,1,rice leaf roller,Low
IP000000322.jpg,1,rice leaf roller,Low
IP000000354.jpg,1,rice leaf roller,Low
IP000000446.jpg,1,rice leaf roller,Low
IP000000544.jpg,1,rice leaf roller,Low
IP000000557.jpg,1,rice leaf roller,Low
IP000000564.jpg,1,rice leaf roller,Low
IP000000623.jpg,1,rice leaf roller,Low
IP000000647.jpg,1,rice leaf roller,Low
IP000000698.jpg,1,rice leaf roller,Low
IP000000827.jpg,1,rice leaf roller,Low
IP000000854.jpg,2,rice leaf roller,Low
IP001000015.jpg,1,rice leaf roller,Low
IP001000108.jpg,0,None,Clean
IP001000305.jpg,1,rice leaf roller,Low
IP001000333.jpg,1,army worm,Low
IP001000337.jpg,0,None,Clean
IP001000347.jpg,1,rice leaf roller,Low
IP001000419.jpg,1,wireworm,Low
IP001000431.jpg,0,None,Clean
IP002000015.jpg,0,None,Clean
IP002000158.jpg,0,None,Clean
IP003000066.jpg,2,asiatic rice borer,Low
IP003000154.jpg,0,None,Clean
IP003000156.jpg,1,asiatic rice borer,Low
IP003000169.jpg,1,corn borer,Low
IP003000173.jpg,1,asiatic rice borer,Low
IP003000202.jpg,0,None,Clean
IP003000290.jpg,0,None,Clean
IP003000569.jpg,0,None,Clean
IP003000587.jpg,1,asiatic rice borer,Low
IP003000633.jpg,1,meadow moth,Low
IP003001006.jpg,1,corn borer,Low
IP003001018.jpg,1,rice leaf roller,Low
IP004000077.jpg,1,yellow rice borer,Low
IP004000098.jpg,1,yellow rice borer,Low
IP004000220.jpg,0,None,Clean
IP004000344.jpg,1,yellow rice borer,Low
IP004000387.jpg,1,yellow rice borer,Low
IP004000444.jpg,1,yellow rice borer,Low
IP005000080.jpg,0,None,Clean
IP005000093.jpg,1,rice gall midge,Low
IP005000342.jpg,1,rice gall midge,Low
IP005000350.jpg,1,rice gall midge,Low
IP005000415.jpg,1,rice gall midge,Low
IP005000423.jpg,1,rice gall midge,Low
IP005000433.jpg,1,rice gall midge,Low
IP006000237.jpg,1,Beet spot flies,Low
IP006000368.jpg,1,Rice Stemfly,Low
IP007000004.jpg,1,Cicadellidae,Low
IP007000007.jpg,1,Lawana imitata Melichar,Low
IP007000140.jpg,1,brown plant hopper,Low
IP007000141.jpg,1,Cicadellidae,Low
IP007000142.jpg,1,Cicadellidae,Low
IP007000162.jpg,1,Cicadellidae,Low
IP007000186.jpg,1,brown plant hopper,Low
IP007000592.jpg,1,Cicadellidae,Low
IP008000039.jpg,1,white backed plant hopper,Low
IP008000098.jpg,0,None,Clean
IP008000367.jpg,0,None,Clean
IP008000460.jpg,0,None,Clean
IP008000568.jpg,1,white backed plant hopper,Low
IP009000000.jpg,1,small brown plant hopper,Low
IP009000032.jpg,0,None,Clean
IP009000128.jpg,0,None,Clean
IP009000148.jpg,0,None,Clean
IP010000101.jpg,1,rice water weevil,Low
IP010000120.jpg,1,rice water weevil,Low
IP010000153.jpg,1,rice water weevil,Low
IP010000324.jpg,0,None,Clean
IP010000499.jpg,0,None,Clean
IP010000501.jpg,0,None,Clean
IP010000561.jpg,0,None,Clean
IP010000683.jpg,1,rice water weevil,Low
IP010000735.jpg,0,None,Clean
IP010000788.jpg,1,rice water weevil,Low
IP010000835.jpg,1,rice water weevil,Low
IP011000095.jpg,1,rice leafhopper,Low
IP011000203.jpg,1,rice leafhopper,Low
IP011000207.jpg,1,rice leafhopper,Low
IP011000245.jpg,1,rice leafhopper,Low
IP011000274.jpg,1,Cicadellidae,Low
IP011000351.jpg,1,rice leafhopper,Low
IP011000375.jpg,1,Cicadellidae,Low
IP011000378.jpg,1,Cicadellidae,Low
IP012000096.jpg,0,None,Clean
IP013000237.jpg,0,None,Clean
IP013000261.jpg,0,None,Clean
IP013000269.jpg,1,rice shell pest,Low
IP014000010.jpg,1,grub,Low
IP014000090.jpg,1,grub,Low
IP014000091.jpg,1,grub,Low
IP014000140.jpg,1,grub,Low
IP014000186.jpg,1,grub,Low
IP014000189.jpg,1,grub,Low
IP014000211.jpg,7,grub,Moderate
IP014000212.jpg,1,grub,Low
IP014000257.jpg,1,grub,Low
IP014000267.jpg,2,grub,Low
IP014000284.jpg,7,grub,Moderate
IP014000399.jpg,3,grub,Low
IP014000480.jpg,5,grub,Moderate
IP014000500.jpg,1,grub,Low
IP014000513.jpg,7,grub,Moderate
IP014000518.jpg,0,None,Clean
IP014000570.jpg,2,grub,Low
IP014000609.jpg,1,grub,Low
IP014000624.jpg,1,grub,Low
IP014000626.jpg,1,grub,Low
IP014000632.jpg,2,grub,Low
IP014000645.jpg,1,grub,Low
IP014000677.jpg,1,grub,Low
IP014000695.jpg,2,grub,Low
IP014000707.jpg,2,grub,Low
IP014000731.jpg,1,grub,Low
IP014000740.jpg,5,grub,Moderate
IP014000749.jpg,1,grub,Low
IP014000793.jpg,1,grub,Low
IP014000831.jpg,1,grub,Low
IP014000845.jpg,3,grub,Low
IP015000008.jpg,1,mole cricket,Low
IP015000019.jpg,1,mole cricket,Low
